Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_002370415.1	ASM237041v1	Leuconostoc mesenteroides		LK-151					GCF_002370415.1-RS_2024_04_12	Complete Genome	2017-05-30		4.0	SAMD00065790
GCF_024498575.1	ASM2449857v1	Leuconostoc mesenteroides		GSICC 31207					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-01		2.0	SAMN23429945
GCF_004103675.1	ASM410367v1	Leuconostoc mesenteroides		SRCM103453					GCF_004103675.1-RS_2024_04_14	Complete Genome	2019-01-23		5.0	SAMN10754493
GCF_016127295.1	ASM1612729v1	Leuconostoc mesenteroides		FDAARGOS_1033					GCF_016127295.1-RS_2024_04_15	Complete Genome	2020-12-20		2.0	SAMN16357202
GCF_023809725.1	ASM2380972v1	Leuconostoc mesenteroides		WiKim0121					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-06-20		6.0	SAMN27689319
GCF_019048965.1	ASM1904896v1	Leuconostoc mesenteroides		WiKim32					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-28		5.0	SAMN11026499
GCF_029953235.2	ASM2995323v2	Leuconostoc mesenteroides		MSL129					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-28		3.0	SAMN33841610
GCF_003255835.1	ASM325583v1	Leuconostoc mesenteroides		CBA7131					GCF_003255835.1-RS_2024_04_12	Complete Genome	2018-06-18		4.0	SAMN07206913
GCF_031192385.1	ASM3119238v1	Leuconostoc mesenteroides		F-22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-05		2.0	SAMN36793375
GCF_004194375.1	ASM419437v1	Leuconostoc mesenteroides		SRCM103460					GCF_004194375.1-RS_2024_04_08	Complete Genome	2019-02-14		5.0	SAMN10743321
GCF_009913935.1	ASM991393v1	Leuconostoc mesenteroides		SRCM102735					GCF_009913935.1-RS_2024_04_15	Complete Genome	2020-01-22		4.0	SAMN08707610
GCF_021253825.1	ASM2125382v1	Leuconostoc mesenteroides		KNU-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-21		5.0	SAMN10492388
GCF_024800105.1	ASM2480010v1	Leuconostoc mesenteroides		PL03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-31		3.0	SAMN30470310
GCF_004102585.1	ASM410258v1	Leuconostoc mesenteroides		SRCM103356					GCF_004102585.1-RS_2024_04_14	Complete Genome	2019-01-22		4.0	SAMN10742283
GCF_030369975.1	ASM3036997v1	Leuconostoc mesenteroides		SRCM217106					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-28		4.0	SAMN35796819
GCF_037201945.1	ASM3720194v1	Leuconostoc mesenteroides		Lm10					GCF_037201945.1-RS_2024_04_05	Complete Genome	2024-04-05		2.0	SAMN40296163
GCF_036324385.1	ASM3632438v1	Leuconostoc mesenteroides		ML2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-02-01		3.0	SAMN39304895
GCF_003433375.1	ASM343337v1	Leuconostoc mesenteroides		WiKim33					GCF_003433375.1-RS_2024_04_08	Complete Genome	2017-08-03		4.0	SAMN07156024
GCF_033881405.1	ASM3388140v1	Leuconostoc mesenteroides		FFL48					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-22		2.0	SAMN37326200
GCF_018336555.1	ASM1833655v1	Leuconostoc mesenteroides		wikim19					GCF_018336555.1-RS_2024_05_21	Complete Genome	2021-05-11		1.0	SAMN13876106
GCF_002117185.1	ASM211718v1	Leuconostoc mesenteroides subsp. mesenteroides		BD1710					GCF_002117185.1-RS_2024_04_12	Complete Genome	2017-05-02		1.0	SAMN04530070
GCF_001583825.1	ASM158382v1	Leuconostoc mesenteroides subsp. mesenteroides		BD3749					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-03-09		1.0	SAMN04508169
GCF_032919725.1	ASM3291972v1	Leuconostoc mesenteroides subsp. mesenteroides		MSJK0064					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-23		2.0	SAMN37344194
GCF_002009375.1	ASM200937v1	Leuconostoc mesenteroides subsp. mesenteroides		DRC0211					GCF_002009375.1-RS_2024_04_12	Complete Genome	2017-03-02		5.0	SAMN04198273
GCF_002148235.1	ASM214823v1	Leuconostoc mesenteroides subsp. mesenteroides		FM06					GCF_002148235.1-RS_2024_04_12	Complete Genome	2017-05-17		4.0	SAMN06061940
GCF_000234825.3	ASM23482v3	Leuconostoc mesenteroides subsp. mesenteroides J18		J18					GCF_000234825.3-RS_2024_04_12	Complete Genome	2015-11-05		5.0	SAMN02603136
GCF_000512955.1	ASM51295v1	Leuconostoc mesenteroides KFRI-MG		KFRI-MG					GCF_000512955.1-RS_2024_04_11	Complete Genome	2014-01-03		1.0	SAMN02641526
GCF_023169905.1	ASM2316990v1	Lactococcus cremoris		7-1					GCF_023169905.1-RS_2024_05_14	Complete Genome	2022-02-15		3.0	SAMD00413988
GCF_025562815.2	ASM2556281v2	Lactococcus cremoris		UC047					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-10		4.0	SAMN17298425
GCF_017376415.1	ASM1737641v1	Lactococcus cremoris		4B0					GCF_017376415.1-RS_2024_04_11	Complete Genome	2021-03-17		1.0	SAMN10104631
GCF_025562875.3	ASM2556287v3	Lactococcus cremoris		NCDO700					GCF_025562875.3-RS_2024_03_28	Complete Genome	2023-06-30		5.0	SAMN17300587
GCF_031348565.1	ASM3134856v1	Lactococcus cremoris		KCKM 0438					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-12		1.0	SAMN37256205
GCF_025562855.1	ASM2556285v2	Lactococcus cremoris		UC073					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-12		9.0	SAMN17298417
GCF_016921035.2	ASM1692103v2	Lactococcus cremoris		W34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-12		6.0	SAMN09847900
GCF_002078935.2	ASM207893v2	Lactococcus cremoris		JM3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-04-25		6.0	SAMN04955245
GCF_002078955.2	ASM207895v3	Lactococcus cremoris		JM4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-22		11.0	SAMN04955246
GCF_017378735.1	ASM1737873v1	Lactococcus cremoris		FM-YL11					GCF_017378735.1-RS_2024_04_16	Complete Genome	2021-03-18		1.0	SAMN18118902
GCF_016629445.1	ASM1662944v1	Lactococcus cremoris		G3-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-15		12.0	SAMD00253351
GCF_016629465.1	ASM1662946v1	Lactococcus cremoris		EPSC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-15		11.0	SAMD00253352
GCF_003966935.1	ASM396693v1	Lactococcus cremoris		C4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-04-10		5.0	SAMD00098207
GCF_002078895.2	ASM207889v2	Lactococcus cremoris		JM1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-08-24		10.0	SAMN04955031
GCF_003394085.1	ASM339408v1	Lactococcus cremoris		3107					GCF_003394085.1-RS_2024_04_07	Complete Genome	2018-08-16		7.0	SAMN08715697
GCF_002078915.2	ASM207891v2	Lactococcus cremoris		JM2					GCF_002078915.2-RS_2024_05_08	Complete Genome	2023-05-05		9.0	SAMN04955242
GCF_017068275.1	ASM1706827v1	Lactococcus cremoris		GR0507					GCF_017068275.1-RS_2024_03_29	Complete Genome	2021-02-28		2.0	SAMN17975934
GCF_002078375.4	ASM207837v4	Lactococcus cremoris		158					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-14		9.0	SAMN04954999
GCF_025562795.3	ASM2556279v3	Lactococcus cremoris		F.2.7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-21		10.0	SAMN17224789
GCF_016921055.1	ASM1692105v1	Lactococcus cremoris		B26					GCF_016921055.1-RS_2024_04_08	Complete Genome	2021-02-23		9.0	SAMN09847899
GCF_012689565.1	ASM1268956v1	Lactococcus cremoris		F					GCF_012689565.1-RS_2024_04_04	Complete Genome	2020-04-23		4.0	SAMN14600593
GCF_002078765.3	ASM207876v3	Lactococcus cremoris		UC109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-03		7.0	SAMN04956304
GCF_000009425.1	ASM942v1	Lactococcus cremoris subsp. cremoris MG1363		MG1363					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-02-06		1.0	SAMEA3138204
GCF_000143205.1	ASM14320v1	Lactococcus cremoris subsp. cremoris NZ9000		NZ9000					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-07-02		1.0	SAMN02603175
GCF_000014545.1	ASM1454v1	Lactococcus cremoris subsp. cremoris SK11		SK11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2006-10-13		6.0	SAMN02598527
GCF_000312685.1	ASM31268v1	Lactococcus cremoris subsp. cremoris UC509.9		UC509.9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-11-13		9.0	SAMN02604113
GCF_000236475.1	ASM23647v1	Lactococcus cremoris subsp. cremoris A76		A76					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-12-01		5.0	SAMN02603598
GCF_003952845.1	ASM395284v1	Lactobacillus acidophilus		YT1					GCF_003952845.1-RS_2024_04_04	Complete Genome	2018-12-18		1.0	SAMN08142761
GCF_024397395.1	ASM2439739v1	Lactobacillus acidophilus		HN017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-07-25		1.0	SAMN29766956
GCF_020883435.1	ASM2088343v1	Lactobacillus acidophilus		NC55					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-18		1.0	SAMN23011956
GCF_030520065.1	ASM3052006v1	Lactobacillus acidophilus		ATCC 9224					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-24		1.0	SAMN36338928
GCF_025665255.1	ASM2566525v1	Lactobacillus acidophilus		NC56					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-12		1.0	SAMN31046618
GCF_024665075.1	ASM2466507v1	Lactobacillus acidophilus		LA-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-15		1.0	SAMN29862208
GCF_021432145.1	ASM2143214v1	Lactobacillus acidophilus		5460					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-11		1.0	SAMN24563600
GCF_032917925.1	ASM3291792v1	Lactobacillus acidophilus		LA01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-22		1.0	SAMN37748333
GCF_032463485.1	ASM3246348v1	Lactobacillus acidophilus		CICC6074					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-08		1.0	SAMN37638716
GCF_013342945.1	ASM1334294v1	Lactobacillus acidophilus		LA-G80-111					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-15		1.0	SAMN15165794
GCF_030520045.1	ASM3052004v1	Lactobacillus acidophilus		ATCC 53544					GCF_030520045.1-RS_2024_05_12	Complete Genome	2023-07-24		1.0	SAMN36338927
GCF_000934625.1	ASM93462v1	Lactobacillus acidophilus		FSI4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-02-25		1.0	SAMN03274004
GCF_024665555.1	ASM2466555v1	Lactobacillus acidophilus		LA-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-15		1.0	SAMN29862214
GCF_033569435.1	ASM3356943v1	Lactobacillus acidophilus		P42					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-13		1.0	SAMN37691132
GCF_030369715.1	ASM3036971v1	Lactobacillus acidophilus		W626					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-06-28		1.0	SAMN35796814
GCF_002838485.1	ASM283848v1	Bifidobacterium breve		215W447a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06829004
GCF_029011725.1	ASM2901172v1	Bifidobacterium breve		VSI11					GCF_029011725.1-RS_2024_04_05	Complete Genome	2023-03-06		1.0	SAMN33275438
GCF_002838345.1	ASM283834v1	Bifidobacterium breve		NRBB57					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827912
GCF_002838725.1	ASM283872v1	Bifidobacterium breve		DRBB30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160979
GCF_002838585.1	ASM283858v1	Bifidobacterium breve		CNCM I-4321					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827913
GCF_002838505.1	ASM283850v1	Bifidobacterium breve		DRBB28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827976
GCF_036872545.1	ASM3687254v1	Bifidobacterium breve		TCI761					GCF_036872545.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMN39949153
GCF_002838705.1	ASM283870v1	Bifidobacterium breve		DRBB29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160978
GCF_002838445.1	ASM283844v1	Bifidobacterium breve		DRBB27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827975
GCF_002838425.1	ASM283842v1	Bifidobacterium breve		NRBB56					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827911
GCF_902387425.1	UHGG_MGYG-HGUT-02469	Bifidobacterium breve					MGYG-HGUT-02469		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-10		1.0	SAMEA5851974
GCF_001281425.1	ASM128142v1	Bifidobacterium breve		BR3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-09-14		2.0	SAMN03271681
GCF_002838565.1	ASM283856v1	Bifidobacterium breve		139W423					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06829002
GCF_002838365.1	ASM283836v1	Bifidobacterium breve		NRBB50					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827094
GCF_001990225.1	ASM199022v1	Bifidobacterium breve		LMC520					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-02-08		1.0	SAMN06240351
GCF_002838405.1	ASM283840v1	Bifidobacterium breve		NRBB51					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827096
GCF_002838225.1	ASM283822v1	Bifidobacterium breve		DRBB26					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827973
GCF_002838385.1	ASM283838v1	Bifidobacterium breve		NRBB52					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827097
GCF_002838305.1	ASM283830v1	Bifidobacterium breve		NRBB11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827081
GCF_024760465.1	ASM2476046v1	Bifidobacterium breve		1101A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-08-29		1.0	SAMN14967674
GCF_902167875.1	B.breve_1_mod_mod2	Bifidobacterium breve					B.breve_1_mod		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-15		1.0	SAMEA5770181
GCF_002838285.1	ASM283828v1	Bifidobacterium breve		NRBB04					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827050
GCF_003860285.1	ASM386028v1	Bifidobacterium breve		lw01					GCF_003860285.1-RS_2024_03_28	Complete Genome	2018-12-04		1.0	SAMN10484345
GCF_009931415.1	ASM993141v1	Bifidobacterium breve		JR01					GCF_009931415.1-RS_2024_03_17	Complete Genome	2020-01-27		1.0	SAMN09977286
GCF_002838465.1	ASM283846v1	Bifidobacterium breve		017W439					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06828931
GCF_002838645.1	ASM283864v1	Bifidobacterium breve		NRBB20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160580
GCF_002838265.1	ASM283826v1	Bifidobacterium breve		NRBB02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827019
GCF_002838665.1	ASM283866v1	Bifidobacterium breve		NRBB27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160976
GCF_002838685.1	ASM283868v1	Bifidobacterium breve		NRBB49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160977
GCF_002838745.1	ASM283874v1	Bifidobacterium breve		NRBB08					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160574
GCF_002838625.1	ASM283862v1	Bifidobacterium breve		NRBB19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160980
GCF_002838605.1	ASM283860v1	Bifidobacterium breve		NRBB18					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN07160576
GCF_013267755.1	ASM1326775v1	Bifidobacterium breve		JTL					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-06-04		1.0	SAMN15028705
GCF_002838545.1	ASM283854v1	Bifidobacterium breve		082W48					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06828932
GCF_003813065.1	ASM381306v1	Bifidobacterium breve		FDAARGOS_561					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-11-21		1.0	SAMN10163185
GCF_009498435.1	ASM949843v1	Bifidobacterium breve		JSRL01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-04		1.0	SAMN13135167
GCF_002838525.1	ASM283852v1	Bifidobacterium breve		180W83					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06829003
GCF_002838245.1	ASM283824v1	Bifidobacterium breve		NRBB01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-13		1.0	SAMN06827008
GCF_000220135.1	ASM22013v1	Bifidobacterium breve UCC2003		UCC2003					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-07-06		1.0	SAMN02604112
GCF_000011985.1	ASM1198v1	Lactobacillus acidophilus NCFM		NCFM					GCF_000011985.1-RS_2024_03_27	Complete Genome	2007-11-01		1.0	SAMN02603047
GCF_000569015.1	ASM56901v1	Bifidobacterium breve JCM 7019		JCM 7019					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-14		1.0	SAMN03081480
GCF_000569055.1	ASM56905v1	Bifidobacterium breve 689b		689b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-14		1.0	SAMN03081482
GCF_000213865.1	ASM21386v1	Bifidobacterium breve ACS-071-V-Sch8b		ACS-071-V-Sch8b					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2011-05-17		1.0	SAMN00100758
GCF_000569035.1	ASM56903v1	Bifidobacterium breve NCFB 2258		NCFB 2258					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-14		1.0	SAMN03081481
GCF_000569075.1	ASM56907v1	Bifidobacterium breve S27		S27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-14		1.0	SAMN03081483
GCF_000568975.1	ASM56897v1	Bifidobacterium breve JCM 7017		JCM 7017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-14		1.0	SAMN03081479
GCF_000568955.1	ASM56895v1	Bifidobacterium breve 12L		12L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-14		1.0	SAMN03081478
GCF_018408455.1	ASM1840845v1	Lactobacillus helveticus		JCM1004					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-04-16		1.0	SAMD00215734
GCF_002849935.1	ASM284993v1	Lactobacillus helveticus		FAM8105					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		2.0	SAMN04892754
GCF_002849955.1	ASM284995v1	Lactobacillus helveticus		FAM22155					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		2.0	SAMN04892861
GCF_039623715.1	ASM3962371v1	Lactobacillus helveticus		IMAUJBH1					GCF_039623715.1-RS_2024_05_14	Complete Genome	2024-05-15		1.0	SAMN40966621
GCF_001308285.1	ASM130828v1	Lactobacillus helveticus		CAUH18					GCF_001308285.1-RS_2024_04_03	Complete Genome	2015-10-08		1.0	SAMN03982146
GCF_024927945.1	ASM2492794v1	Lactobacillus helveticus		VHProbi Y21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-05		3.0	SAMN30399899
GCF_015709185.1	ASM1570918v1	Lactobacillus helveticus		TK-J7A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-12		3.0	SAMN13106277
GCF_022811585.1	ASM2281158v1	Lactobacillus helveticus		SCB0641					GCF_022811585.1-RS_2024_04_17	Complete Genome	2022-04-04		3.0	SAMN26867059
GCF_003955865.1	ASM395586v1	Lactobacillus helveticus		LH5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-19		3.0	SAMN06118452
GCF_004114755.1	ASM411475v1	Lactobacillus helveticus		IDCC3801					GCF_004114755.1-RS_2024_04_03	Complete Genome	2019-01-28		2.0	SAMN10782597
GCF_000961015.1	ASM96101v1	Lactobacillus helveticus		KLDS1.8701					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-03-24		2.0	SAMN03164100
GCF_009498395.1	ASM949839v1	Lactobacillus helveticus		LZ-R-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-04		1.0	SAMN12670384
GCF_001006025.1	ASM100602v1	Lactobacillus helveticus		MB2-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-05-11		1.0	SAMN03328961
GCF_003610975.1	ASM361097v1	Lactobacillus helveticus		LH99					GCF_003610975.1-RS_2024_03_31	Complete Genome	2018-10-03		1.0	SAMN05751674
GCF_001702095.1	ASM170209v1	Lactobacillus helveticus		D76					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-08-10		1.0	SAMN05417796
GCF_902386585.1	UHGG_MGYG-HGUT-02384	Lactobacillus helveticus					MGYG-HGUT-02384		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-10		1.0	SAMEA5851888
GCF_001746265.1	ASM174626v2	Lactobacillus helveticus		D75					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-03-13		1.0	SAMN05417795
GCF_023614485.1	ASM2361448v1	Lactobacillus helveticus		BIM B-461 G					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-06-01		1.0	SAMN28648818
GCF_002849915.1	ASM284991v1	Lactobacillus helveticus		FAM8627					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-03		2.0	SAMN04892856
GCF_019443925.1	ASM1944392v1	Lactobacillus helveticus		LH2020					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-08-03		1.0	SAMN14650907
GCF_037888945.1	ASM3788894v1	Lactobacillus helveticus		LH10					GCF_037888945.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMN40518045
GCF_000422165.1	ASM42216v1	Lactobacillus helveticus CNRZ32		CNRZ32					GCF_000422165.1-RS_2024_03_21	Complete Genome	2013-07-11		1.0	SAMN02604285
GCF_000189515.1	ASM18951v1	Lactobacillus helveticus H10		H10					GCF_000189515.1-RS_2024_03_27	Complete Genome	2011-02-16		2.0	SAMN02603939
GCF_000165775.1	ASM16577v3	Lactobacillus helveticus R0052		R0052					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-09-05		1.0	SAMN02603348
GCF_000015385.1	ASM1538v1	Lactobacillus helveticus DPC 4571		DPC 4571					GCF_000015385.1-RS_2024_03_20	Complete Genome	2007-11-15		1.0	SAMN02603893
GCF_000525715.1	ASM52571v1	Lactobacillus helveticus H9		H9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-02-03		1.0	SAMN02641509
GCF_037891815.1	ASM3789181v1	Lactococcus garvieae		R22-8					GCF_037891815.1-RS_2024_04_05	Complete Genome	2024-04-05		2.0	SAMN39080984
GCF_021329025.1	ASM2132902v1	Lactococcus garvieae		IBB3403					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-30		3.0	SAMN08793958
GCF_025908255.1	ASM2590825v1	Lactococcus garvieae		Alexii-6_2					GCF_025908255.1-RS_2024_03_31	Complete Genome	2022-10-30		1.0	SAMN31228647
GCF_025908235.1	ASM2590823v1	Lactococcus garvieae		Alexii-11_2					GCF_025908235.1-RS_2024_03_30	Complete Genome	2022-10-30		1.0	SAMN31228655
GCF_020341655.1	ASM2034165v1	Lactococcus garvieae		Lg-Granada					GCF_020341655.1-RS_2024_03_29	Complete Genome	2021-10-07		2.0	SAMN21462875
GCF_028993695.1	ASM2899369v1	Lactococcus garvieae		Pa-2					GCF_028993695.1-RS_2024_03_30	Complete Genome	2023-03-04		2.0	SAMN33386793
GCF_016027715.1	ASM1602771v1	Lactococcus garvieae		FDAARGOS_893					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14		2.0	SAMN13450423
GCF_037892105.1	ASM3789210v1	Lactococcus garvieae		M21102102					GCF_037892105.1-RS_2024_04_05	Complete Genome	2024-04-05		2.0	SAMN39080987
GCF_039645535.1	ASM3964553v1	Lactococcus garvieae		S2202601					GCF_039645535.1-RS_2024_05_18	Complete Genome	2024-05-18		1.0	SAMN39080983
GCF_037076375.1	ASM3707637v1	Lactococcus garvieae		L21-68					GCF_037076375.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMD00570830
GCF_026073035.1	ASM2607303v1	Lactococcus garvieae		MS210922A					GCF_026073035.1-RS_2024_03_30	Complete Genome	2022-07-30		1.0	SAMD00496712
