Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_030715375.1	ASM3071537v1	Klebsiella pneumoniae		1781					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-08-11	JAURSW01		SAMN36735505
GCF_028464445.1	ASM2846444v1	Escherichia coli		BZ1601					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-05	JAQPGC01		SAMN30948390
GCF_003835545.1	ASM383554v1	Pseudomonas aeruginosa		LiP14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-26	NSPR01		SAMN07424168
GCF_025290845.1	ASM2529084v1	Escherichia coli		UC4178					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-19	JAOCPX01		SAMN30821913
GCF_032028575.1	ASM3202857v1	Staphylococcus aureus		21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-09-26	JAVUNZ01		SAMN37007373
GCF_016093825.1	ASM1609382v1	Clostridioides difficile		GV868					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-12-16	VBZO01	85.0	SAMN11637504
GCF_035007945.1	ASM3500794v1	Pseudomonas aeruginosa		KT978					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-02	JARELB01		SAMN33565077
GCF_014877725.1	ASM1487772v1	Klebsiella pneumoniae		NMI5164_17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-10-11	JADAYC01		SAMN16327564
GCF_001518435.1	ASM151843v1	Klebsiella aerogenes		GN05782					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-01-19	LRCY01		SAMN04407795
GCF_037172285.1	ASM3717228v1	Escherichia coli		P6-MAC-TIG-3					GCF_037172285.1-RS_2024_03_15	Contig	2024-03-14	JBANPL01		SAMN40125681
GCF_036914415.1	ASM3691441v1	Escherichia coli		23NH-39EC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-28	JAYKUR01		SAMN39255647
GCF_037030655.1	ASM3703065v1	Klebsiella pneumoniae		KpLESPA_210					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-03-05	JAYETO01		SAMN38876782
GCF_005395005.1	ASM539500v1	Escherichia coli		NS-P074					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BGET01	126.0	SAMD00077597
GCF_032251955.1	ASM3225195v1	Acinetobacter baumannii		LACPHL-BACT-2023-00109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-10-01	JAVVBI01		SAMN37517889
GCF_006236385.1	ASM623638v1	Escherichia coli		LVSTRB91					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-06-11	SQGM01	179.0	SAMN11232891
GCF_003199215.1	ASM319921v1	Salmonella enterica		CFSAN035688					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-07	QJDH01		SAMN03861578
GCF_008082105.1	ASM808210v1	Klebsiella pneumoniae		T0185A.B-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-08-23	QYOA01		SAMN09981296
GCF_019294905.1	ASM1929490v1	Staphylococcus aureus		R14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-07-20	JAHVZG01	26.0	SAMN20239767
GCF_038380125.1	ASM3838012v1	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-		Z1322HSL0033					GCF_038380125.1-RS_2024_04_19	Complete Genome	2024-04-20		1.0	SAMN40440206
GCF_026194245.1	ASM2619424v1	Acinetobacter baumannii		T144					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-11-15	JAPHKB01		SAMN25159993
GCF_001607025.1	ASM160702v1	Escherichia coli		STEC 479					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-04-04	LOCZ01	301.0	SAMN04002615
GCF_024701795.1	ASM2470179v1	Salmonella enterica subsp. enterica serovar Paratyphi A		JY-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-08-15	VHHT01		SAMN12091289
GCF_010499875.1	ASM1049987v1	Acinetobacter baumannii		SP664					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-02-12	JAAGTV01		SAMN14001783
GCF_005237495.1	ASM523749v1	Enterococcus faecalis		TV29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-05-08	QPVN01	83.0	SAMN09435217
GCF_026723745.1	ASM2672374v1	Escherichia coli		16843					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-07		1.0	SAMN31927828
GCF_023546015.1	ASM2354601v1	Klebsiella pneumoniae		NT07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-05-24	JAKIMC01		SAMN25118151
GCF_009891625.1	ASM989162v1	Enterococcus faecalis		BIOML-A5					GCF_009891625.1-RS_2024_04_22	Scaffold	2020-01-16	WXSO01	21.0	SAMN11945441
GCF_003422945.1	ASM342294v1	Staphylococcus aureus		M6K200					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-20	BEDC01		SAMD00083664
GCF_003290695.1	ASM329069v1	Escherichia coli		2142					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-07-09	PJFR01	135.0	SAMN08148412
GCF_007001195.1	ASM700119v1	Clostridioides difficile		LC1-16-1013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-07-15	QWVD01		SAMN09907159
GCF_000316845.2	ASM31684v2	Escherichia coli 95.0183		95.0183					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2012-12-12	ANLQ01	433.0	SAMN01041340
GCF_003980795.1	ASM398079v1	Escherichia coli		700004					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-28	PNYZ01		SAMN08161321
GCF_000624755.2	ASM62475v2	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121671		EC20121671					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2016-02-29		1.0	SAMN02384286
GCF_019294755.1	ASM1929475v1	Staphylococcus aureus		R1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-07-20	JAHVYT01	31.0	SAMN20239351
GCF_037482095.1	ASM3748209v1	Salmonella enterica subsp. enterica serovar Enteritidis		3669					GCF_037482095.1-RS_2024_04_06	Contig	2024-03-23	JBBFNL01		SAMN40517923
GCF_002183425.1	ASM218342v1	Acinetobacter baumannii		ABUH619					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-06-08	NDAY01		SAMN06461879
GCF_026801775.1	ASM2680177v1	Escherichia coli		3B4-F11-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-10	JAPQRG01		SAMN31827345
GCF_019120755.1	ASM1912075v1	Escherichia coli		KCJ2K2539					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-07-05	JAHMSX01		SAMN19572622
GCF_022802795.1	ASM2280279v1	Escherichia coli		CE 1882					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-04-01	JAFBGK01		SAMN17719015
GCF_002109655.1	ASM210965v1	Escherichia coli B671		B671					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-04-25	ADIP01	38.0	SAMN06392833
GCF_030293145.1	ASM3029314v1	Salmonella enterica		F58					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-06-16	JASBFK01	28.0	SAMN34534648
GCF_017328785.1	ASM1732878v1	Staphylococcus aureus		M283					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2021-03-11		1.0	SAMN17372431
GCF_001694935.1	ASM169493v1	Streptococcus agalactiae		NOVUI-7					GCF_001694935.1-RS_2024_04_12	Contig	2016-07-26	MBKS01		SAMN04481648
GCF_036906035.1	ASM3690603v1	Cutibacterium avidum		PAVI-2017310114					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-28	JBAKUL01		SAMN40026080
GCF_036908455.1	ASM3690845v1	Klebsiella pneumoniae		CDK8803					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-28	JATADK01		SAMN35740372
GCF_001662265.1	ASM166226v1	Enterococcus faecalis		CBA7120					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-05-26	BDEN01		SAMD00051619
GCF_001884315.1	ASM188431v1	Klebsiella pneumoniae		KpN03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-11-18	LLWU01		SAMN04168651
GCF_026248845.1	ASM2624884v1	Escherichia coli		XYEH3314					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-21		8.0	SAMN31720454
GCF_002516295.1	ASM251629v1	Escherichia coli		MOD1-EC2546					GCF_002516295.1-RS_2024_04_25	Contig	2017-10-05	NJSM01		SAMN05440320
GCF_021892335.1	ASM2189233v1	Escherichia coli		11EC					GCF_021892335.1-RS_2024_03_17	Contig	2022-02-02	JAKLCX01		SAMN25284752
GCF_003596425.1	ASM359642v1	Salmonella enterica subsp. enterica serovar Mbandaka		12TTUMesnonTIF8x1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-24	QYXZ01		SAMN10065361
GCF_002040925.1	ASM204092v1	Salmonella enterica subsp. enterica serovar Enteritidis		CFSAN057790					GCF_002040925.1-RS_2024_03_18	Scaffold	2017-03-20	MZUF01	41.0	SAMN06074134
GCF_003710755.1	ASM371075v1	Staphylococcus aureus		VB8215					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-04	RHIJ01		SAMN10319619
GCF_030444655.1	ASM3044465v1	Pseudomonas aeruginosa PAO1		PAO1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-07-13		1.0	SAMN35794377
GCF_002300915.1	ASM230091v1	Clostridioides difficile		5482-L/ST55					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-09-14	MNBT01		SAMN05710837
GCF_001752305.1	ASM175230v1	Listeria monocytogenes		BCW_2403					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-09-30	MJUB01	23.0	SAMN03357078
GCF_006874805.1	ASM687480v1	Salmonella enterica subsp. enterica serovar 4,[5],12:i:-		USDA15WA-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-11		1.0	SAMN04088947
GCF_027087595.1	ASM2708759v1	Klebsiella pneumoniae		K1925					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-19	JAPVDR01		SAMN32218042
GCF_003309715.1	ASM330971v1	Staphylococcus aureus		S1AA062					GCF_003309715.1-RS_2024_05_14	Scaffold	2018-07-10	PTBI01	54.0	SAMN08470379
GCF_018920655.1	ASM1892065v1	Pseudomonas aeruginosa		PA0532					GCF_018920655.1-RS_2024_05_17	Scaffold	2021-06-17	JACVNS01	143.0	SAMN15889707
GCF_003428265.1	ASM342826v1	Serratia marcescens		KCTC 42172					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-08-25	QVOI01		SAMN09767465
GCF_000357345.2	ASM35734v2	Escherichia coli P0299917.6		P0299917.6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2013-04-08	APYP01		SAMN00829367
GCF_029269055.1	ASM2926905v1	Staphylococcus aureus		DC53082					GCF_029269055.1-RS_2024_05_17	Scaffold	2023-03-18	JARIGH01	31.0	SAMN32531352
GCF_013449935.1	ASM1344993v1	Enterococcus faecalis		IIFCSG-B3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-07-21	JACDPD01		SAMN15505261
GCF_010602655.1	ASM1060265v1	Klebsiella pneumoniae		AS012271					GCF_010602655.1-RS_2024_05_07	Scaffold	2020-02-14	VKYM01	573.0	SAMN12250590
GCF_020111565.1	ASM2011156v1	Streptococcus agalactiae		MRY08-1422					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-23	JACHRA01		SAMN15694347
GCF_025153045.1	ASM2515304v1	Escherichia coli		NJS002					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-12	JANZMK01		SAMN30637112
GCF_002911215.1	ASM291121v1	Escherichia coli		A92					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-01-31	PQBC01		SAMN08391478
GCF_008830585.1	ASM883058v1	Klebsiella pneumoniae		42338					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-10-06	WARD01	92.0	SAMN12868597
GCF_023000225.1	ASM2300022v1	Acinetobacter baumannii		YL005					GCF_023000225.1-RS_2024_05_07	Scaffold	2022-04-14	JAIGQD01	119.0	SAMN20599435
GCF_022395485.1	ASM2239548v1	Acinetobacter baumannii		NGCE1008					GCF_022395485.1-RS_2024_04_24	Contig	2022-02-25	JAKRCE01		SAMN25894934
GCF_003145075.1	ASM314507v1	Escherichia coli		Win2012_WWKa_OUT_14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-05-21	NBCI01	219.0	SAMN06641874
GCF_016903915.1	ASM1690391v1	Escherichia coli		FDAARGOS_1300					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-02-17		11.0	SAMN16357442
GCF_001575625.1	ASM157562v1	Escherichia coli		G236					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-02-26	LOOR01	103.0	SAMN04334736
GCF_001996635.1	ASM199663v1	Staphylococcus aureus		Transconjugant 6B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-02-13	MUDZ01		SAMN06209075
GCF_002741235.1	ASM274123v1	Escherichia coli		90-9276					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2017-11-02		3.0	SAMN07656204
GCF_022131305.1	ASM2213130v1	Escherichia coli		JPI_EC17138					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-02-09	JAJHHX01		SAMN22610093
GCF_003962645.1	ASM396264v1	Enterococcus faecalis		32633					GCF_003962645.1-RS_2024_04_22	Contig	2018-12-21	QNHE01		SAMN09521582
GCF_016924095.1	ASM1692409v1	Salmonella enterica subsp. enterica serovar Typhi		K16110					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-02-23	JAANPI01		SAMN14299291
GCF_003303655.1	ASM330365v1	Escherichia coli		A161					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-07-09	NSAI01	169.0	SAMN07556504
GCF_005391665.1	ASM539166v1	Escherichia coli		KS-NP081					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BFZE01	179.0	SAMD00077452
GCF_003048105.1	ASM304810v1	Escherichia coli		KG-23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-10	QAFX01		SAMN08823434
GCF_037480855.1	ASM3748085v1	Salmonella enterica subsp. enterica		19ESS0571					GCF_037480855.1-RS_2024_04_06	Scaffold	2024-03-23	JBBHCK01	91.0	SAMN40221079
GCF_017639125.1	ASM1763912v1	Escherichia coli		ABW_A33					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-03-30		4.0	SAMN17214839
GCF_026623435.1	ASM2662343v1	Klebsiella pneumoniae		kp110					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-03	JAPMWX01		SAMN31880357
GCF_021061185.1	ASM2106118v1	Pseudomonas aeruginosa		4917_S30					GCF_021061185.1-RS_2024_05_16	Contig	2021-12-06	JAIGZU01		SAMN20752061
GCF_036664755.1	ASM3666475v1	Pseudomonas aeruginosa		PA_A4235					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-02-16	JAPRDJ01	92.0	SAMN32065102
GCF_021197895.1	ASM2119789v1	Listeria monocytogenes		D50L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-14	JAHVWF01		SAMN20115090
GCF_003983995.1	ASM398399v1	Escherichia coli		203802					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-28	PNVX01		SAMN08161276
GCF_029854395.1	ASM2985439v1	Escherichia coli O155		NWU_3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-04-23		1.0	SAMN33841339
GCF_002144435.1	ASM214443v1	Salmonella enterica subsp. enterica serovar Newport		SN2667_100					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-05-16	MBOT01	56.0	SAMN05301532
GCF_021415295.1	ASM2141529v1	Klebsiella pneumoniae		15B11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-01-10	JAKCHL01	131.0	SAMN21237597
GCF_030208055.1	ASM3020805v1	Escherichia coli		B42					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-06-07	JARVEN01	60.0	SAMN34133689
GCF_006368105.1	ASM636810v1	Acinetobacter baumannii		AB-HZ-B66					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-19	PRKG01		SAMN08471648
GCF_014692955.1	ASM1469295v1	Staphylococcus aureus		HP20814.096					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-22	JACODK01	64.0	SAMN15307058
GCF_010178835.1	ASM1017883v1	Acinetobacter baumannii		BA29150					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-02-04	JAAEGE01		SAMN13943330
GCF_020389505.1	ASM2038950v1	Staphylococcus aureus		197					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-08		2.0	SAMN19550022
GCF_006368125.1	ASM636812v1	Acinetobacter baumannii		AB-HZ-B57					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-06-19	PRKK01		SAMN08471644
GCF_036697455.1	ASM3669745v1	Escherichia coli		CML12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-19	JBAHZE01		SAMN39661750
GCF_003318455.1	ASM331845v1	Escherichia coli		AVC80					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-07-14	QODS01		SAMN09579984
GCF_003686925.1	ASM368692v1	Escherichia coli		CMSX59a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-10-24	RDDR01	53.0	SAMN10187494
GCF_029126185.1	ASM2912618v1	Clostridioides difficile		3_EDR					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-03-10	JAKLAW01		SAMN25271633
GCF_001413905.1	ASM141390v1	Escherichia coli		RU1 BHI11					GCF_001413905.1-RS_2024_05_08	Scaffold	2015-10-26	JRSR01	372.0	SAMN02872787
GCF_029194865.1	ASM2919486v1	Escherichia coli		CREC18					GCF_029194865.1-RS_2024_05_12	Contig	2023-03-13	JARFUZ01		SAMN32744901
GCF_021197345.1	ASM2119734v1	Listeria monocytogenes		D129L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-14	JAHVXE01		SAMN20115115
GCF_037039335.1	ASM3703933v1	Staphylococcus aureus		KWT 2019-23549					GCF_037039335.1-RS_2024_04_05	Complete Genome	2024-04-05		2.0	SAMN39984695
GCF_003361395.1	ASM336139v1	Escherichia coli		ECI-1691					GCF_003361395.1-RS_2024_04_30	Contig	2018-08-03	QGYP01		SAMN09257613
GCF_036246865.1	ASM3624686v1	Escherichia coli		PWD198					GCF_036246865.1-RS_2024_04_02	Contig	2019-12-02	BLCW01		SAMD00168477
GCF_001950065.1	ASM195006v1	Acinetobacter baumannii		Ab158_GEIH-2000					GCF_001950065.1-RS_2024_04_24	Scaffold	2017-01-12	MSMC01	885.0	SAMN06106563
GCF_012274645.1	ASM1227464v1	Staphylococcus aureus		24-859					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-04-13	SJAZ01	22.0	SAMN10689365
GCF_001036825.1	ASM103682v1	Pseudomonas aeruginosa		Pae_CF67.05r					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-06-22	LEEV01	243.0	SAMN03566323
GCF_021174725.1	ASM2117472v1	Acinetobacter baumannii		Ab-HCG0908-26					GCF_021174725.1-RS_2024_04_24	Contig	2021-12-13	JAGHOT01		SAMN16321033
GCF_037480255.1	ASM3748025v1	Salmonella enterica subsp. enterica		C170					GCF_037480255.1-RS_2024_04_06	Scaffold	2024-03-23	JBBHBI01	101.0	SAMN40221107
GCF_036880015.1	ASM3688001v1	Escherichia coli		GN-085					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-02-26	JBAJKZ01		SAMN39937567
GCF_030449505.1	ASM3044950v1	Acinetobacter baumannii		gs22					GCF_030449505.1-RS_2024_03_17	Contig	2023-07-13	JAUGYO01		SAMN36008417
GCF_002935125.2	ASM293512v2	Klebsiella pneumoniae subsp. pneumoniae		CRK0349					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-14	PTFK02		SAMN08513458
GCF_002183765.1	ASM218376v1	Acinetobacter baumannii		ABUH434					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-06-08	NCYX01		SAMN06461808
GCF_028437545.1	ASM2843754v1	Escherichia coli		20-MO00588					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-02	JACVTL01		SAMN16084716
GCF_003859725.1	ASM385972v1	Streptococcus agalactiae		ILRI027					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-03	QYTD01		SAMN10055691
GCF_028803845.1	ASM2880384v1	Staphylococcus aureus		DC900031					GCF_028803845.1-RS_2024_03_27	Scaffold	2023-02-22	JARAPJ01	20.0	SAMN32531387
GCF_030130785.1	ASM3013078v1	Acinetobacter baumannii		GP T1 EMB CEF 3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-05-30	JARFKC01		SAMN31927160
GCF_025547785.1	ASM2554778v1	Escherichia coli		H88-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-10-03	JAMZTN01		SAMN29331908
GCF_002097445.1	ASM209744v1	Staphylococcus aureus		612					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-04-18	NAII01		SAMN06546691
GCF_026873345.1	ASM2687334v1	Salmonella enterica		1795					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-13		4.0	SAMN25270679
GCF_020296665.1	ASM2029666v1	Salmonella enterica		F2-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-10-05	JAIXCH01		SAMN21898641
GCF_003632215.1	ASM363221v1	Pseudomonas aeruginosa		HUM-343					GCF_003632215.1-RS_2024_05_19	Contig	2018-10-11	QZYU01		SAMN09477983
GCF_034043195.1	ASM3404319v1	Staphylococcus aureus		Dog139					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-01		3.0	SAMN33696824
GCF_030771335.1	ASM3077133v1	Serratia marcescens		SampleAB					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-08-17	JAUJVR01	39.0	SAMN35676910
GCF_009797705.1	ASM979770v1	Klebsiella pneumoniae		ZRYYKP8B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-12-24	WJTB01		SAMN13190890
GCF_003587485.1	ASM358748v1	Listeria monocytogenes		N16-0734					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-21	QYDC01		SAMN09948015
GCF_025407825.1	ASM2540782v1	Escherichia coli		Eco_b4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-26	JAHWBR01		SAMN20169825
GCF_005395205.1	ASM539520v1	Escherichia coli		OU-NP015					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-17	BGFD01	157.0	SAMD00077607
GCF_003795615.1	ASM379561v1	Escherichia coli		12A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-11-19	PQTO01	125.0	SAMN08290408
GCF_017255515.1	ASM1725551v1	Listeria monocytogenes		PSU-KV-134LM					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-03-06	QSWG01		SAMN09766006
GCF_002798815.1	ASM279881v1	Salmonella enterica subsp. enterica serovar Typhimurium		CFSAN068035					GCF_002798815.1-RS_2024_03_19	Scaffold	2017-11-29	PHIY01	99.0	SAMN08015734
GCF_001669425.1	ASM166942v1	Acinetobacter baumannii		ABUH746					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-06-17	LZUZ01		SAMN05238596
GCF_003969965.1	ASM396996v1	Pseudomonas aeruginosa		MRSN11281					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-12-24	RXWR01		SAMN09788411
GCF_001708845.1	ASM170884v1	Listeria monocytogenes		OCF14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-08-23	MDFF01		SAMN05410692
GCF_001690115.1	ASM169011v1	Salmonella enterica subsp. enterica serovar Heidelberg		SA02DT09004001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-07-21		4.0	SAMN05263513
GCF_001638675.1	ASM163867v1	Streptococcus pyogenes		SST2235-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-05-06	LRHB01	17.0	SAMN03988146
GCF_036040305.1	ASM3604030v1	Klebsiella pneumoniae		NNKp 2841					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2024-01-24	JAYXKK01	137.0	SAMN39480693
GCF_018502025.1	ASM1850202v1	Staphylococcus aureus		Colony586					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2021-05-26		1.0	SAMN17905375
GCF_011077025.1	ASM1107702v1	Escherichia coli		M-S51-X3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-03-09	JAALAG01	137.0	SAMN14134964
GCF_014181615.1	ASM1418161v1	Staphylococcus aureus		D2851					GCF_014181615.1-RS_2024_05_01	Contig	2020-08-13	JABXBK01		SAMN15098652
GCF_003118715.1	ASM311871v1	Salmonella enterica subsp. enterica serovar Rubislaw		166					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-05-02	QDOH01		SAMN08514380
GCF_011292115.1	ASM1129211v1	Staphylococcus aureus		SH-2M77					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-03-15	JAANWJ01		SAMN14330680
GCF_021120775.1	ASM2112077v1	Staphylococcus aureus		U1608895_001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-12-08	JADPWJ01		SAMN16826728
GCF_030236535.1	ASM3023653v1	Cutibacterium acnes		OGSA_14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-08	JARJOJ01		SAMN33482198
GCF_006231695.1	ASM623169v1	Escherichia coli		EELTKB255					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-06-11	SQAR01	171.0	SAMN11232657
